2026-08-29  13:00  QueenBees vs Guildford  [Slough]  (Welite CHALLENGE)
2026-09-05  13:00  Slough vs Guildford  [Slough]  (U19Nat)
2026-09-06  15:15  Slough vs Cardiff  [Slough]  (U10SW)
2026-09-06  17:00  Slough vs Bristol  [Slough]  (U12S2)
2026-09-06  18:15  Slough vs MiltonKeynes  [Slough]  (U14S2)
2026-09-12  13:00  Slough vs Cardiff  [Slough]  (U16S1)
2026-09-12  17:30  Slough vs Basingstoke  [Slough]  (U10SC)
2026-09-12  19:15  Slough vs Streatham  [Slough]  (WNIHL2Sa)
2026-09-13  15:15  IceBees vs Haringey  [Slough]  (U16GS)
2026-09-13  18:45  Slough vs Peterborough  [Slough]  (U14S2)
2026-09-19  13:00  Queenbees vs Solihull  [Slough]  (WElite)
2026-09-20  15:15  Slough vs Invicta  [Slough]  (U14S2)
2026-09-26  13:00  Firebees vs Haringey  [Slough]  (WNIHL1S)
2026-09-27  15:15  Slough vs Haringey  [Slough]  (U12S2)
2026-09-27  18:35  Slough vs Basingstoke  [Slough]  (WNIHL2Sb)
2026-10-03  13:00  Slough vs Leeds  [Slough]  (U19Nat)
2026-10-04  15:15  Slough vs Chelmsford  [Slough]  (U14S1)
2026-10-10  13:00  Slough vs Peterborough  [Slough]  (U16S1)
2026-10-11  15:15  Slough vs Bristol  [Slough]  (U14S2)
2026-10-17  13:05  Slough vs Cardiff  [Slough]  (WNIHL2Sa)
2026-10-18  15:15  Slough vs MiltonKeynes  [Slough]  (U12S2)
2026-10-18  17:00  Slough vs Guildford  [Slough]  (U12S1)
2026-10-18  18:35  Slough vs MiltonKeynes  [Slough]  (WNIHL2Sb)
2026-10-24  13:00  Firebees vs MiltonKeynes  [Slough]  (WNIHL1S)
2026-10-25  15:20  IceBees vs Bristol  [Slough]  (U16GS)
2026-10-25  18:00  Queenbees vs WhitleyBay  [Slough]  (WElite)
2026-10-31  13:00  Slough vs Swindon  [Slough]  (U16S1)
2026-11-01  15:15  Slough vs Streatham  [Slough]  (U14S1)
2026-11-07  13:00  Slough vs Leeds  [Slough]  (U19Nat)
2026-11-14  13:00  Queenbees vs Guildford  [Slough]  (WElite)
2026-11-14  17:30  Slough vs Streatham  [Slough]  (U12S2)
2026-11-14  19:15  Slough vs Solent  [Slough]  (WNIHL2Sa)
2026-11-15  17:00  Slough vs Basingstoke  [Slough]  (U14S2)
2026-11-15  18:45  Slough vs Guildford  [Slough]  (U14S1)
2026-11-21  13:00  Firebees vs Haringey  [Slough]  (WNIHL1S)
2026-11-28  13:05  Slough vs Oxford  [Slough]  (WNIHL2Sa)
2026-11-29  17:00  Slough vs Cambridge  [Slough]  (U12S2)
2026-11-29  18:45  Slough vs Haringey  [Slough]  (U14S1)
2026-12-05  13:00  Slough vs Swindon  [Slough]  (U19Nat)
2026-12-06  17:00  Slough vs Chelmsford  [Slough]  (U12S1)
2026-12-06  18:45  Slough vs Haringey  [Slough]  (U14S2)
2027-01-02  13:00  Slough vs Nottingham  [Slough]  (U19Nat)
2027-01-03  16:50  IceBees vs Oxford  [Slough]  (U16GS)
2027-01-03  18:35  Slough vs Coventry  [Slough]  (WNIHL2Sb)
2027-01-09  13:05  Slough vs Oxford  [Slough]  (WNIHL2Sa)
2027-01-16  13:00  Slough vs Guildford  [Slough]  (U16S1)
2027-01-23  13:00  Queenbees vs WhitleyBay  [Slough]  (WElite)
2027-01-23  17:30  IceBees vs Telford  [Slough]  (U16GS)
2027-01-23  19:15  Firebees vs Chelmsford  [Slough]  (WNIHL1S)
2027-01-30  13:00  Slough vs Cardiff  [Slough]  (WNIHL2Sa)
2027-01-31  17:00  Slough vs Romford  [Slough]  (U14S2)
2027-01-31  18:45  Slough vs Cardiff  [Slough]  (U14S1)
2027-02-06  13:00  Queenbees vs Caledonia  [Slough]  (WElite)
2027-02-13  13:00  Slough vs Haringey  [Slough]  (U19Nat)
2027-02-13  17:30  Slough vs Swindon  [Slough]  (U10SC)
2027-02-13  19:15  Firebees vs Chelmsford  [Slough]  (WNIHL1S)
2027-02-14  15:15  Slough vs Solent  [Slough]  (U12S2)
2027-02-20  13:00  Slough vs Solent  [Slough]  (WNIHL2Sa)
2027-02-21  15:15  Slough vs Cardiff  [Slough]  (U12S1)
2027-02-27  13:00  Slough vs Chelmsford  [Slough]  (U16S1)
2027-02-28  15:15  Slough vs Basingstoke  [Slough]  (U12S2)
2027-02-28  17:00  Slough vs Swindon  [Slough]  (U12S1)
2027-02-28  18:35  Slough vs Chelmsford  [Slough]  (WNIHL2Sb)
2027-03-06  13:00  Firebees vs MiltonKeynes  [Slough]  (WNIHL1S)
2027-03-07  15:15  Slough vs MK  [Slough]  (U10SW)
2027-03-07  17:00  IceBees vs MiltonKeynes  [Slough]  (U16GS)
2027-03-07  18:45  Slough vs Oxford  [Slough]  (U14S2)
2027-03-13  13:00  Slough vs Guildford  [Slough]  (U19Nat)
2027-03-14  15:15  Slough vs Romford  [Slough]  (U12S2)
2027-03-14  17:00  Slough vs Invicta  [Slough]  (U12S1)
