2026-08-29  13:00  QueenBees vs Guildford  [Slough]  (Welite CHALLENGE)
2026-09-05  13:00  Slough vs Guildford  [Slough]  (U19Nat)
2026-09-06  16:15  Peterborough vs Guildford  [Peterborough]  (U16S1)
2026-09-12  16:55  Guildford vs Romford  [Guildford]  (U14S1)
2026-09-12  18:30  Guildford vs Slough  [Guildford]  (U19Nat)
2026-09-13  09:00  Guildford vs Cardiff  [Guildford]  (U12S1)
2026-09-13  18:45  Haringey vs Guildford  [Haringey]  (U19Nat)
2026-09-20  08:30  Guildford vs Haringey  [Guildford]  (U10SC)
2026-09-20  16:00  Cardiff vs Guildford  [Cardiff]  (U14S1)
2026-09-20  16:55  Guildford vs Romford  [Guildford]  (U16S1)
2026-09-20  18:45  Guildford vs Bristol  [Guildford]  (WElite)
2026-09-27  16:15  Haringey vs Guildford  [Haringey]  (U14S1)
2026-09-27  17:45  Haringey vs Guildford  [Haringey]  (U16S1)
2026-09-27  17:50  Swindon vs Guildford  [Swindon]  (U12S1)
2026-10-03  12:15  Caledonia vs Guildford  [Murrayfield]  (WElite)
2026-10-03  17:30  Peterborough vs Guildford  [Peterborough]  (U14S1)
2026-10-04  09:00  Guildford vs Slough  [Guildford]  (U12S1)
2026-10-11  09:30  Haringey vs Guildford  [Haringey]  (U12S1)
2026-10-11  16:55  Guildford vs Swindon  [Guildford]  (U14S1)
2026-10-11  18:30  Guildford vs Swindon  [Guildford]  (U19Nat)
2026-10-18  12:00  WhitleyBay vs Guildford  [WhitleyBay]  (WElite)
2026-10-18  13:10  Swindon vs Guildford  [Swindon]  (U16S1)
2026-10-18  17:00  Slough vs Guildford  [Slough]  (U12S1)
2026-10-24  16:45  Invicta vs Guildford  [Invicta]  (U16S1)
2026-10-25  09:00  Guildford vs Haringey  [Guildford]  (U12S1)
2026-10-25  13:10  Swindon vs Guildford  [Swindon]  (U19Nat)
2026-10-25  16:55  Guildford vs Cardiff  [Guildford]  (U16S1)
2026-10-25  18:45  Guildford vs Streatham  [Guildford]  (WElite)
2026-10-31  13:10  Swindon vs Guildford  [Swindon]  (U14S1)
2026-10-31  16:50  Nottingham vs Guildford  [Nottingham]  (U19Nat)
2026-10-31  18:45  Streatham vs Guildford  [Streatham]  (U16S1)
2026-11-07  16:55  Guildford vs Cardiff  [Guildford]  (U14S1)
2026-11-07  18:30  Guildford vs Nottingham  [Guildford]  (U19Nat)
2026-11-08  09:00  Guildford vs Swindon  [Guildford]  (U12S1)
2026-11-08  16:55  Guildford vs Peterborough  [Guildford]  (U16S1)
2026-11-08  18:45  Guildford vs Solihull  [Guildford]  (WElite)
2026-11-14  13:00  Queenbees vs Guildford  [Slough]  (WElite)
2026-11-15  08:30  Guildford vs Haringey  [Guildford]  (U10SC)
2026-11-15  14:30  Leeds vs Guildford  [Leeds]  (U19Nat)
2026-11-15  18:45  Slough vs Guildford  [Slough]  (U14S1)
2026-11-29  08:30  Guildford vs Streatham  [Guildford]  (U14S1)
2026-11-29  16:00  Cardiff vs Guildford  [Cardiff]  (U12S1)
2026-12-06  18:30  Chelmsford vs Guildford  [Chelmsford]  (U16S1)
2026-12-12  12:20  Sheffield vs Guildford  [Sheffield]  (U19Nat)
2026-12-20  09:00  Guildford vs Streatham  [Guildford]  (U12S1)
2026-12-20  17:30  Bristol vs Guildford  [Bristol]  (WElite)
2027-01-10  08:30  Guildford vs Haringey  [Guildford]  (U10SC)
2027-01-10  12:15  Chelmsford vs Guildford  [Chelmsford]  (U14S1)
2027-01-10  18:30  Chelmsford vs Guildford  [Chelmsford]  (U12S1)
2027-01-16  13:00  Slough vs Guildford  [Slough]  (U16S1)
2027-01-17  09:00  Guildford vs Invicta  [Guildford]  (U12S1)
2027-01-24  08:30  Guildford vs Slough  [Guildford]  (U16S1)
2027-01-30  16:55  Guildford vs Streatham  [Guildford]  (U16S1)
2027-01-30  18:45  Guildford vs WhitleyBay  [Guildford]  (WElite)
2027-01-31  16:55  Guildford vs Peterborough  [Guildford]  (U14S1)
2027-01-31  18:30  Guildford vs Swindon  [Guildford]  (U19Nat)
2027-02-06  16:55  Guildford vs Leeds  [Guildford]  (U19Nat)
2027-02-06  19:00  Guildford vs Kingston  [Guildford]  (WElite)
2027-02-21  16:45  Invicta vs Guildford  [Invicta]  (U12S1)
2027-02-28  09:00  Guildford vs Chelmsford  [Guildford]  (U12S1)
2027-02-28  11:45  Romford vs Guildford  [Romford]  (U16S1)
2027-02-28  16:30  Streatham vs Guildford  [Streatham]  (U14S1)
2027-02-28  17:00  Solihull vs Guildford  [Solihull]  (WElite)
2027-03-07  15:50  Romford vs Guildford  [Romford]  (U14S1)
2027-03-07  16:30  Streatham vs Guildford  [Streatham]  (WElite)
2027-03-13  13:00  Slough vs Guildford  [Slough]  (U19Nat)
2027-03-14  09:00  Guildford vs Romford  [Guildford]  (U12S1)
2027-03-14  12:30  Kingston vs Guildford  [Kingston]  (WElite)
2027-03-20  16:00  Cardiff vs Guildford  [Cardiff]  (U16S1)
2027-03-21  08:30  Guildford vs Haringey  [Guildford]  (U14S1)
2027-03-21  16:30  Streatham vs Guildford  [Streatham]  (U12S1)
2027-03-21  17:45  Haringey vs Guildford  [Haringey]  (U19Nat)
2027-03-28  12:00  WhitleyBay vs Guildford  [WhitleyBay]  (WElite)
2027-04-10  17:15  Romford vs Guildford  [Romford]  (U12S1)
2027-04-10  17:45  Solihull vs Guildford  [Solihull]  (WElite)
2027-04-11  08:30  Guildford vs Haringey  [Guildford]  (U16S1)
2027-04-11  18:50  Nottingham vs Guildford  [Nottingham]  (U19Nat)
2027-04-17  16:55  Guildford vs Swindon  [Guildford]  (U16S1)
2027-04-17  18:45  Guildford vs Solihull  [Guildford]  (WElite)
2027-04-18  17:00  Queenbees vs Guildford  [Slough]  (WElite)
2027-04-18  18:30  Guildford vs Sheffield  [Guildford]  (U19Nat)
2027-04-24  16:55  Guildford vs Chelmsford  [Guildford]  (U16S1)
2027-04-24  18:45  Guildford vs Queenbees  [Guildford]  (WElite)
2027-04-25  18:45  Guildford vs Queenbees  [Guildford]  (WElite)
2027-05-01  16:55  Guildford vs Slough  [Guildford]  (U14S1)
2027-05-01  18:30  Guildford vs Leeds  [Guildford]  (U19Nat)
2027-05-02  16:55  Guildford vs Peterborough  [Guildford]  (U12S1)
2027-05-02  16:55  Guildford vs Sheffield  [Guildford]  (U19Nat)
2027-05-08  16:55  Guildford vs Invicta  [Guildford]  (U16S1)
2027-05-08  18:45  Guildford vs Caledonia  [Guildford]  (WElite)
2027-05-09  16:15  Peterborough vs Guildford  [Peterborough]  (U12S1)
2027-05-09  16:55  Guildford vs Chelmsford  [Guildford]  (U14S1)
2027-05-09  18:30  Guildford vs Haringey  [Guildford]  (U19Nat)
2027-05-15  18:45  Guildford vs WhitleyBay  [Guildford]  (WElite)
