2026-09-05  16:15  Peterborough vs Solent  [Peterborough]  (U14S2)
2026-09-06  12:15  Chelmsford vs Solent  [Chelmsford]  (U12S2)
2026-09-12  16:15  Basingstoke vs Solent  [Basingstoke]  (U14S2)
2026-09-13  16:25  Solent vs Chelmsford  [Solent]  (U12S2)
2026-09-13  18:25  Oxford vs Solent  [Oxford]  (U19S2)
2026-09-19  14:00  LeeValley vs Solent  [LeeValley]  (U12S2)
2026-09-19  18:45  Streatham vs Solent  [Streatham]  (FWCS)
2026-09-20  16:25  Solent vs Romford  [Solent]  (U14S2)
2026-09-20  16:25  Solent vs MiltonKeynes  [Solent]  (U19S2)
2026-09-26  16:45  Invicta vs Solent  [Invicta]  (U16S2)
2026-09-26  18:30  Invicta vs Solent  [Invicta]  (WNIHL2Sa)
2026-09-27  16:25  Solent vs Swindon  [Solent]  (U10SC)
2026-09-27  18:00  Solent vs Chelmsford  [Solent]  (FWCS)
2026-10-03  16:25  Solent vs Haringey  [Solent]  (U14S2)
2026-10-03  18:25  Solent vs Bristol  [Solent]  (U19S2)
2026-10-04  13:10  Swindon vs Solent  [Swindon]  (U10SC)
2026-10-10  16:45  Invicta vs Solent  [Invicta]  (U14S2)
2026-10-10  18:15  Cambridge vs Solent  [Cambridge]  (U16S2)
2026-10-17  16:15  MiltonKeynes vs Solent  [MiltonKeynes]  (U14S2)
2026-10-17  18:30  Invicta vs Solent  [Invicta]  (WNIHL2Sa)
2026-10-18  16:25  Solent vs Haringey  [Solent]  (U10SC)
2026-10-18  16:30  Streatham vs Solent  [Streatham]  (U12S2)
2026-10-18  18:15  Solent vs MiltonKeynes  [Solent]  (U19S2)
2026-10-25  16:25  Solent vs Swindon  [Solent]  (U14S2)
2026-10-25  18:00  Solent vs Invicta  [Solent]  (FWCS)
2026-11-01  16:25  Solent vs MiltonKeynes  [Solent]  (U12S2)
2026-11-01  18:15  Solent vs MiltonKeynes  [Solent]  (U14S2)
2026-11-07  16:00  Cardiff vs Solent  [Cardiff]  (WNIHL2Sa)
2026-11-07  16:25  Solent vs Oxford  [Solent]  (U12S2)
2026-11-07  17:50  Solent vs Oxford  [Solent]  (U19S2)
2026-11-08  16:15  MiltonKeynes vs Solent  [MiltonKeynes]  (U12S2)
2026-11-14  19:15  Slough vs Solent  [Slough]  (WNIHL2Sa)
2026-11-21  16:25  Solent vs Romford  [Solent]  (U19S2)
2026-11-22  16:25  Solent vs Bristol  [Solent]  (U14S2)
2026-11-29  16:25  Solent vs Streatham  [Solent]  (U12S2)
2026-11-29  18:00  Solent vs Invicta  [Solent]  (WNIHL2Sa)
2026-12-05  16:25  Solent vs Swindon  [Solent]  (U10SC)
2026-12-06  11:45  Romford vs Solent  [Romford]  (U19S2)
2026-12-06  16:25  Solent vs Invicta  [Solent]  (U14S2)
